FAMILIA;PRECIO1;PRECIO2;PRECIO3;PRECIO4;PRECIO5;PRECIO6;PRECIO7;PRECIO8;PRECIO9;PRECIO10;PRECIO11;PRECIO12;PRECIO13;PRECIO14;PRECIO15;PRECIO16;PRECIO17;PRECIO18;PRECIO19;PRECIO20
ABS;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
AFORADOR;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
AIRBAG SUELTO;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
AIREADOR;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
ALETA;66;146;196;246;296;396;496;596;696;796;896;996;1196;1496;1996;2396;2896;3496;3946;4296
ALETIN;66;146;196;246;296;396;496;596;696;796;896;996;1196;1496;1996;2396;2896;3496;3946;4296
ALFOMBRILLAS;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
ALTERNADOR;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
AMORTIGUADORES DE PORTON;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
ANTENA CON O SIN BASE;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
ANTINIEBLAS;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
APOYABRAZOS CENTRAL;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
ASIENTO SUELTO;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
BANDEJA TRASERA;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
BLOQUE MOTOR;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
BOBINA;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
BOMBA COMBUSTIBLE;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
BOMBA DE INYECCION;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
BOMBA DIRECCION;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
BOMBA FRENO;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
BRAZO SUSPENSION;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
CABLEADO;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
CAJA CAMBIOS;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
CAJA DIRECCION;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
CAJA MARIPOSA;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
CAPOT;66;146;196;246;296;396;496;596;696;796;896;996;1196;1496;1996;2396;2896;3496;3946;4296
CARTER;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
CATALIZADOR;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
CAUDALIMETRO;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
CENTRALITA A MOTOR;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
CERRADURAS;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
COLUMNA DIRECCION;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
COMPRESOR;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
CONDENSADOR;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
CONMUTADOR DE ARRANQUE;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
CONTORNO;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
CREMALLERA;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
CUADRO INSTRUMENTOS;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
CULATA;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
DEPOSITO EXPANSION;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
DEPRESOR DE FRENO;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
DESPIECE MOTOR;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
DIFERENCIAL DEL./TRAS.;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
ELECTRO;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
ELEVALUNAS;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
ENFRIADOR;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
ESPEJO INTERIOR;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
ESTRIBO;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
FAROS;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
FILTRO DE PARTICULAS;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
GATO/CONJUNTO HERRAMIENTAS;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
GUANTERA;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
GUARNECIDO;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
INTERCOOLER;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
INYECTORES;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
JUEGO ASIENTOS;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
JUEGO LLANTAS O LLANTAS;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
KIT AIRBAG CON SALPICADERO;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
LUZ CENTRAL FRENO;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
LUZ INTERIOR;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
MANDO CALEFACCION;12;15.7;18;28;48;88;148;248;398;498;598;698;798;998;1198;1498;1998;2398;2898;3498
