marca,modelo,anios_produccion,rango_anios,tiene_serie,tiene_deportiva,observaciones_facelift,serie_1g,serie_2g,serie_3g,precio_fatal_10,precio_mal_13,precio_regular_17,precio_bien_23,precio_vida_deportiva,valor_minimo_usado,porcentaje_15,porcentaje_20,porcentaje_23
ALFA ROMEO,GIULIA,2016 EN ADELANTE,16-19,True,False,,,,,,3370.0,4130.0,5070.0,,13500.0,2025.0,2700.0,3105.0
ALFA ROMEO,GIULIA,2016 EN ADELANTE,20-22,True,False,EXTERIORMENTE NO CAMBIA NADA. SOLO CAMBIAN MOTORES Y ALGUNAS PARTES DE LA SUSPENSIÓN,,,,,3670.0,4370.0,5280.0,,20000.0,3000.0,4000.0,4600.0
ALFA ROMEO,GIULIA,2016 EN ADELANTE,23>,True,False,CAMBIAN LAS REJILLAS DEL PARAGOLPES DELANTERO Y LA ILUMINACION,,,,,4180.0,5280.0,6250.0,,41500.0,6225.0,8300.0,9545.0
ALFA ROMEO,GIULIETTA,2010-2021,10-16,True,True,,,,,,1070.0,1330.0,1630.0,,2500.0,375.0,500.0,575.0
ALFA ROMEO,GIULIETTA,2010-2021,16-21,True,True,"CAMBIA EL PARAGOLPES FRONTAL, LOS RETROVISORES Y EL DIFUSON TRASERO,LOS FAROS CAMBIAN DE FONDO AUNQUE PARECE QUE SE PODRIAN PONER",,,,860.0,1270.0,1630.0,2130.0,,7500.0,1125.0,1500.0,1725.0
ALFA ROMEO,JUNIOR,2024 EN ADELANTE,24>,True,False,,,,,,,,,,0.0,0.0,0.0,0.0
ALFA ROMEO,MITO,2008-2018,08-13,True,False,,,,,,580.0,880.0,1130.0,,2500.0,375.0,500.0,575.0
ALFA ROMEO,MITO,2008-2018,13-16,True,False,CAMBIAN SOLAMENTE LAS REJILLAS DE PARAGOLPES DELANTERO,,,,580.0,880.0,1180.0,1580.0,,5700.0,855.0,1140.0,1311.0
ALFA ROMEO,MITO,2008-2018,16-18,True,False,CAMBIAN PARAGOLPES E ILUMINACION,,,,880.0,1380.0,1580.0,2080.0,,6700.0,1005.0,1340.0,1541.0
ALFA ROMEO,STELVIO,2017 EN ADELANTE,17-19,True,False,,,,,2700.0,3410.0,3600.0,4280.0,,17000.0,2550.0,3400.0,3910.0
ALFA ROMEO,STELVIO,2017 EN ADELANTE,20-22,True,False,EXTERIORMENTE NO CAMBIA NADA. SOLO CAMBIAN MOTORES Y ALGUNAS PARTES DE LA SUSPENSIÓN,,,,,3830.0,4780.0,5130.0,,19900.0,2985.0,3980.0,4577.0
ALFA ROMEO,STELVIO,2017 EN ADELANTE,23>,True,False,CAMBIAN LAS REJILLAS DEL PARAGOLPES DELANTERO Y LA ILUMINACION,,,,4130.0,4880.0,5130.0,6780.0,12510.0,32900.0,4935.0,6580.0,7567.0
ALFA ROMEO,TONALE,2022 EN ADELANTE,22-25,True,False,,,,,2780.0,3130.0,4230.0,5130.0,,23000.0,3450.0,4600.0,5290.0
ALFA ROMEO,TONALE,2022 EN ADELANTE,26>,True,False,CAMBIA EL PARAGOLPES DELANTERO Y LAS REJILLAS,,,,,,,,,0.0,0.0,0.0,0.0
AUDI,A1,2010-2018,10-15,True,True,,1480/1G,2370/2/3G,2470/3G,1480.0,1770.0,2370.0,2870.0,,5600.0,840.0,1120.0,1288.0
AUDI,A1,2010-2018,16-18,True,False,"CAMBIA PARAGOLPES DELANTERO, REJILLAS, PARAGOLPES TRASERO Y LA ILUMINACION",1970/1G,2470/2/3g,2870/3g,2170.0,2480.0,2870.0,3670.0,,8900.0,1335.0,1780.0,2047.0
AUDI,A1,2019 EN ADELANTE,19>,True,False,"ENTRE EL A1  Y EL CITICARVER CAMBIAN DETALLES ESPECIFICOS DE DISEÑO: PARAGOLPES DELANTERO, LAS PUERTAS APARENTEMENTE SON LAS MISMAS PERO EL CITICARVER LLEVA UNA MOLDURA DEBAJO APARENTEMENTE PEGADA. EL INTERIOR ES EXACTAMENTE EL MISMO Y LA MECANICA TAMBIEN EXCEPTO AMORTIGUADORES",2530,3380/2g,4170/3g,2630.0,3170.0,3730.0,4670.0,,11500.0,1725.0,2300.0,2645.0
AUDI,A1 CITYCARVER,2020 EN ADELANTE,20-22,True,False,,2830,3730/2g,4230/4880/3g,2830.0,3380.0,4130.0,5120.0,,15500.0,2325.0,3100.0,3565.0
AUDI,A1 ALLSTREET,2022 EN ADELANTE,22>,True,False,,3230,4230/2g,6130/3gh,,4230.0,5430.0,6430.0,,18000.0,2700.0,3600.0,4140.0
AUDI,A3,2012-2017,12-16,True,True,,2130/1g,2870/2g,3130/3g,2260.0,2680.0,2830.0,3230.0,,8400.0,1260.0,1680.0,1932.0
AUDI,A3,2012-2017,16-17,False,False,"CAMBIA EL PARAGOLPES DELANTERO, LAS REJILLAS, EL PARAGOLPES TRASERO Y LA ILUMINACION",2470/1g,3370/2g,4230/3g,2470.0,2880.0,3830.0,5130.0,,10700.0,1605.0,2140.0,2461.0
AUDI,A3 SPORTBACK,2013-2020,13-16,True,True,,2590/1g,2830/2g,3830/3g,2780.0,3480.0,4030.0,4380.0,,14000.0,2100.0,2800.0,3220.0
AUDI,A3 SPORTBACK,2013-2020,16-20,False,False,"CAMBIA EL PARAGOLPES DELANTERO, LAS REJILLAS, EL PARAGOLPES TRASERO Y LA ILUMINACION",3290/1g,3880/2g,4880/3g,3380.0,4030.0,4780.0,5450.0,,16800.0,2520.0,3360.0,3864.0
AUDI,A3 SPORTBACK,2020 EN ADELANTE,20-24,True,True,,42301g,4850/2g,5680/3g,4530.0,4780.0,5450.0,6630.0,,19000.0,2850.0,3800.0,4370.0
AUDI,A3 SPORTBACK,2020 EN ADELANTE,24>,True,False,"CAMBIA EL PARAGOLPES DELANTERO, LAS REJILLAS, PARAGOLPES TRASERO Y LA ILUMINACIÓN",4380,,,,,,,,25000.0,3750.0,5000.0,5750.0
AUDI,A3 SEDAN,2013-2020,13-16,True,True,,2430/1g,2670/2g,3470/3g,2530.0,2630.0,3280.0,3870.0,,11500.0,1725.0,2300.0,2645.0
AUDI,A3 SEDAN,2013-2020,16-20,False,False,"CAMBIA EL PARAGOLPES DELANTERO, LAS REJILLAS, EL PARAGOLPES TRASERO Y LA ILUMINACION",2880/1g,3330/2g,4170/3g,2370.0,3030.0,3670.0,4630.0,,11700.0,1755.0,2340.0,2691.0
AUDI,A3 SEDAN,2020 EN ADELANTE,20-24,True,True,,4230/1g,4680/2g,5600,4230.0,5380.0,6430.0,7130.0,,19800.0,2970.0,3960.0,4554.0
AUDI,A3 SEDAN,2020 EN ADELANTE,24>,True,False,"CAMBIA EL PARAGOLPES DELANTERO, LAS REJILLAS, PARAGOLPES TRASERO Y LA ILUMINACIÓN",4480,5130,6830,,5630.0,6130.0,7530.0,,30600.0,4590.0,6120.0,7038.0
AUDI,A4 B8,2008-2016,08-12,True,True,,2.0TD 2430/1,3030/2/td2.0,3370/3/td2.0,3.0,3370.0,3770.0,4370.0,,4500.0,675.0,900.0,1035.0
AUDI,A4 B8,2008-2016,12-16,True,False,CAMBIA PRACTICAMENTE TODO PERO TENIENDO EN CUENTA QUE LA CARROCERIA ES LA MISMA (LAS PUERTAS SIN SON LAS MISMAS),2.0td/3230/1,2.0td/3870/2,2.0td/4770/3,3.0,3770.0,4370.0,6070.0,,7900.0,1185.0,1580.0,1817.0
AUDI,A4 B9,2016-2024,16-19,True,True,,"3680/2,0TDI",2.0TD/4880/2,2.0TD/6130/3,3.0,5280.0,6180.0,7480.0,,9900.0,1485.0,1980.0,2277.0
AUDI,A4 B9,2016-2024,19-24,True,True,CAMBIA PRACTICAMENTE TODO PERO TENIENDO EN CUENTA QUE LA CARROCERIA ES LA MISMA,2.0TD/5030/1D,2.0TD/5780/2,v6 td-->,3.0,6180.0,6770.0,7870.0,,16500.0,2475.0,3300.0,3795.0
AUDI,A4 ALLROAD,2008-2016,08-12,True,False,,,,,,,,,,8000.0,1200.0,1600.0,1840.0
AUDI,A4 ALLROAD,2008-2016,12-16,True,False,CAMBIA PRACTICAMENTE TODO PERO TENIENDO EN CUENTA QUE LA CARROCERIA ES LA MISMA (LAS PUERTAS SIN SON LAS MISMAS),,,,,,,5800.0,,10500.0,1575.0,2100.0,2415.0
